iter	Passed	Remaining
0	1	142
1	2	122
2	3	113
3	4	105
4	5	106
5	6	102
6	7	100
7	8	98
8	9	96
9	10	94
10	11	94
11	12	92
12	13	91
13	14	90
14	15	88
15	16	87
16	17	87
17	19	87
18	20	86
19	21	84
20	22	83
21	23	82
22	24	81
23	25	80
24	26	79
25	27	78
26	28	77
27	29	75
28	30	74
29	31	73
30	32	72
31	33	71
32	35	71
33	36	70
34	37	69
35	38	68
36	39	67
37	40	66
38	41	65
39	42	63
40	43	62
41	44	60
42	45	59
43	46	58
44	47	57
45	48	56
46	49	55
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	48
54	57	47
55	58	45
56	59	44
57	60	43
58	61	42
59	62	41
60	63	40
61	65	40
62	66	39
63	67	38
64	68	37
65	69	36
66	70	34
67	72	33
68	73	32
69	74	31
70	75	30
71	76	29
72	77	28
73	77	27
74	79	26
75	80	25
76	81	24
77	82	23
78	83	22
79	84	21
80	85	20
81	86	19
82	87	17
83	88	16
84	89	15
85	90	14
86	91	13
87	92	12
88	93	11
89	95	10
90	96	9
91	97	8
92	98	7
93	100	6
94	101	5
95	102	4
96	103	3
97	104	2
98	105	1
99	106	0
